[00:24:19] SSE no clients, dropping event
[00:24:19] SSE client connected, total=1
[00:36:02] SSE no clients, dropping event
[00:36:02] SSE client connected, total=1
[00:39:19] SSE no clients, dropping event
[00:39:19] SSE no clients, dropping telemetry
[00:39:19] SSE client connected, total=1
[10:55:05] SSE no clients, dropping event
[10:55:05] SSE client connected, total=1
[11:00:57] SSE no clients, dropping event
[11:00:57] SSE client connected, total=1
[11:05:45] SSE client connected, total=1
[11:11:19] SSE no clients, dropping event
[11:11:19] SSE client connected, total=1
[12:08:15] SSE no clients, dropping event
[12:08:15] SSE client connected, total=1
[12:08:29] SSE no clients, dropping telemetry
[12:08:31] SSE no clients, dropping telemetry
[12:08:32] SSE no clients, dropping telemetry
[12:08:33] SSE no clients, dropping telemetry
[12:08:34] SSE no clients, dropping telemetry
[12:08:35] SSE no clients, dropping telemetry
[12:08:36] SSE no clients, dropping telemetry
[12:08:37] SSE no clients, dropping telemetry
[12:08:38] SSE no clients, dropping telemetry
[12:08:39] SSE no clients, dropping telemetry
[12:49:28] SSE client connected, total=1
[12:59:10] SSE client connected, total=1
[13:10:31] SSE client connected, total=1
[13:19:11] SSE client connected, total=2
[13:19:12] SSE client connected, total=2
[13:21:41] SSE client connected, total=1
[13:40:28] SSE client connected, total=1
[13:51:09] SSE client connected, total=1
[13:52:32] SSE client connected, total=1
[13:52:48] SSE no clients, dropping event
[13:52:48] SSE client connected, total=1
[14:27:16] SSE client connected, total=1
[14:31:27] SSE client connected, total=1
[14:38:57] SSE client connected, total=1
[14:39:08] SSE no clients, dropping event
[14:39:08] SSE client connected, total=1
[15:35:00] SSE no clients, dropping event
[15:35:00] SSE client connected, total=1
[15:35:21] SSE client connected, total=1
